epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.274005090686637,6.863540524117601,0.30407626561472717,1.45737453414086
1,5.497700869197577,6.610919406584891,0.2794214332675871,1.635437212334164
2,5.0672759606804645,6.362256739501652,0.3643436335744028,1.8545912776682008
3,4.804056647797705,6.261176822113933,0.4547446855139163,2.616151654613193
4,4.6056886055100135,6.100909833032365,0.9998904229412209,4.6953758491958775
5,4.4827585656877975,5.85562215184737,2.4408284023146134,9.314047775377235
6,4.404073537235528,5.359061675664236,7.571772957015346,21.994849875285233
7,4.3452269544064155,4.634189187396181,17.95967565574537,41.46942800872555
8,4.307685245930309,3.888078183373312,28.106508870723605,57.10880998004927
9,4.27826374013659,3.282006415572575,35.697457817858464,66.78446197342565
10,4.238437466218438,2.86061109321932,40.54898093443232,72.07703265729975
11,4.215901262323621,2.585142938552027,43.7595879870132,75.17532325893438
12,4.205999011724767,2.404358777199402,45.82511503749215,77.10387903197199
13,4.1861968527377496,2.2840210158862018,47.21400393223308,78.56673243963846
14,4.171544519948288,2.2026843699138206,48.293337717250644,79.45430638574337
15,4.16290849699101,2.1446275554830874,49.052158660855234,80.08985311995988
16,4.16104384711091,2.102067950731721,49.64935349132731,80.69800570134973
17,4.149013766100709,2.0706035936189644,50.13697128162137,81.03221563255215
18,4.145433751630112,2.0471269628496356,50.350646490280546,81.27876398277576
19,4.135445173357574,2.028285621029229,50.605413091200994,81.58557967420683
20,4.113902735038542,2.0134604758869368,50.931404763346514,81.81569142438799
21,4.107887152215125,2.0014539956524007,51.134122271248316,82.04580320132136
22,4.110598117532865,1.9905784922996268,51.249178153026946,82.13894369746937
23,4.099942397063886,1.9812205081024687,51.35875518818892,82.34714005951189
24,4.084651794232113,1.9730781510867441,51.580648687673246,82.41288627910426
25,4.087685527935834,1.9653995753954356,51.63817662145651,82.55259700075409
26,4.08879299398879,1.9597448449685546,51.76419021987664,82.7662722278054
27,4.087908855626281,1.9553400437716406,51.84089414273441,82.79366647259279
28,4.072437838769295,1.9509882001586318,52.049090491400825,82.8073635832824
29,4.063328089848371,1.9475358970954757,52.16140694987113,82.97446855807968
30,4.082430591045971,1.9440516186418852,52.21893489452248,83.04569361091261
31,4.056172688242415,1.9410689839035593,52.33399077880913,83.17992549430585
32,4.052999550188091,1.9397447444669986,52.273723410849456,83.18540436433068
33,4.059596164125792,1.9374603499139371,52.33399077880913,83.24567173229036
34,4.039866442411718,1.934812514321626,52.4545255306126,83.31689678512329
35,4.054626790570541,1.932585306865668,52.46822265969435,83.32785448838868
36,4.061040156324145,1.9310179380583654,52.495616904481736,83.3881218613644
37,4.039082622863877,1.9293335122338988,52.51479288519617,83.41551613792004
38,4.045884597469383,1.9271914046661858,52.56136312658212,83.45934696435772
39,4.038146007228905,1.924502525730873,52.651764181029655,83.51687489312494
40,4.039448048027468,1.9223963899516285,52.805172021729156,83.49769887562621
41,4.0331207429859,1.9200597836107585,52.72024983229043,83.5579662435859
42,4.014848631872257,1.919673327576192,52.865439400556916,83.52235375813375
43,4.038854199396053,1.9190678385143711,52.88187594458692,83.58262110770127
44,4.023445819465207,1.9164974132755621,52.94488274087097,83.73055006499983
45,4.026229208623859,1.9151802549962018,52.92296732598012,83.7990357288007
46,4.01039139485695,1.913195156094904,52.97775583979907,83.82369057452394
